Site Number,Latitude,Longitude,Strike,Dip,Component,N/No,Dec_geo,Dec_tc,Inc_geo,Inc_tc,a95 ,R,k
PL01,47.28,-88.41,232,43,A,42592,249.2,302.8,74.9,40.8,7.8,7.87,51.85
PL02,47.3,-88.4,224,33,A,42590,272.3,291.5,60.9,32.3,11.8,7.7,23.15
PL03,47.31,-88.38,226,31,A,42591,235.5,274.3,61.9,45.7,7,7.89,63.38
PL03,,,,,B,42591,217.8,266.3,61.8,52.2,5.8,7.92,92.77
PL04,47.31,-88.38,218,42,A,42559,240.4,270.3,53.8,26.7,10.4,6.83,34.65
PL04,,,,,B,42590,226.5,263.5,53.3,32.5,11.3,7.72,24.98
PL05,47.32,-88.38,228,45,A,42529,260.7,298.2,70.1,32.3,15.7,5.74,19.28
PL06,47.32,-88.37,223,35,A,42558,295.5,302.6,56.3,22.2,13.8,6.7,20.11
PL07,47.43,-88.21,252,41,A,42528,288.5,306.4,45.7,15.5,8,5.93,71.12
PL07,,,,,B,42528,290.8,308.8,47.5,16.2,8.6,5.92,61.35
PL08,47.19,-88.48,220,41,A,42559,225.4,276,65,41.1,7.2,6.92,71.44
PL08,,,,,B,42559,212.2,274.8,66.5,46.7,6.2,6.94,96.83
PL10,47.39,-88.03,0,0,B,42497,225.9,296.5,44.5,35.8,13.3,4.88,34.21
PL11,47.34,-88.34,235,35,A,42496,253.1,291,63.6,40.9,10.9,4.92,50.17
PL11,,,,,B,42496,241.9,295.1,71.6,48.6,8.6,4.95,79.4
PL12,47.14,-88.58,215,56,A,42497,100.9,316.2,72.2,49.8,14,4.87,30.61
PL12,,,,,B,42497,94.8,314.7,76.4,45.4,12.6,4.89,37.68
PL13,47.39,-88.27,245,41,A,42559,231.1,270,44,39.6,12.6,6.75,23.87
PL13,,,,,B,42590,236.8,281.7,52.2,40.8,13.7,7.6,17.38
PL14,47.43,-87.98,269,32,A,42623,268.8,288.9,34.5,28.8,5.4,8.91,93.09
PL15,47.42,-88.1,259,33,A,42590,245.6,280.3,46.5,44,4.9,7.95,128.09
PL15,,,,,B,42590,244,279.6,46.8,45.1,4.8,7.95,131.91
PL16,47.4,-88.28,233,22,A,42590,268.8,280.2,41.8,27,4.4,7.96,159.51
PL17,47.37,-88.16,242,42,A,42558,238.3,298.1,66.4,44.3,7.1,6.92,73.38
PL17,,,,,B,42497,217.4,289.5,62.8,52,14.7,4.86,28.08
PL19,47.08,-88.64,225,61,A,42592,237.5,283.1,59.1,18.6,11.7,7.7,23.32
PL19,,,,,B,42623,222,279.4,58.4,25.9,6.5,8.88,64.67
PL20,47.43,-88.04,255,33,A,42558,268.8,290.1,41.5,27.3,8.2,6.89,55.32
PL21,47.41,-88.18,250,35,A,42558,253.9,285.4,48.7,36.1,3.8,6.98,258.76
PL21,,,,,B,42558,244.8,286.5,54.7,44.3,4,6.97,228.17
PL22,47.41,-87.71,281,26,A,42496,277.6,299.2,41.1,37.6,7.3,4.96,111.44
PL22,,,,,B,42466,278.8,286.9,37.7,37.7,15.1,3.92,38.22
PL23,47.45,-87.87,272,33,A,42622,271,290.5,32.6,27.4,5.5,8.91,88.94
PL24,47.11,-88.58,222,56,A,42653,271.2,304.9,80.3,26.5,5.5,9.88,77.58
PL24,,,,,B,42623,236.9,306.2,84.9,32.5,3.2,8.97,259.53
PL25,47.06,-88.66,229,64,A,42559,155.7,310.3,68.7,46.1,12.3,6.76,25.1
PL26,46.93,-88.83,215,55,A,42559,248.9,279.6,60.1,15.6,10,6.84,37.18
PL26,,,,,B,42590,232.6,278.7,65,24.5,6,7.92,87.48
PL28,46.81,-89,0,0,B,42622,243.4,288.8,66.4,42.9,2.9,8.98,321.8
PL29,46.78,-89.05,230,35,A,42470,286.8,301.5,58.8,26.9,20.7,3.86,20.69
PL29,,,,,B,10,260.3,288,59.4,33.9,4.8,9.91,102.76
PL30,46.77,-89.1,245,32,A,42559,298.1,301,21.8,-4.5,13.5,6.71,20.98
PL30,,,,,B,42590,253.1,289.5,58.2,43,3.9,7.97,203.57
PL31,46.7,-89.23,250,42,A,42559,234.9,268,37.2,36,9.2,6.86,43.57
PL30,,,,,B,42559,229.1,268.3,40.6,41.7,7.6,6.91,64.46
PL32,46.66,-89.39,255,51,A,42468,269,301.9,48.7,20.4,16.7,3.9,31.36
PL32,,,,,B,42559,265.6,295.7,43.2,19.1,9.5,6.86,41.59
PL33,46.59,-89.59,261,42,A,42561,276.9,291.7,28.8,11.4,11.6,6.79,27.94
PL33,,,,,B,42470,265.5,307.3,55.8,35.8,27.5,3.75,12.11
Mean,-,-,-,-,A,28/31,260.6,291.2,56.7,31.3,7.9/5.6,26.9,24.51